,0
469,1.2512364
470,14.560459
471,34.325245
472,20.069721
473,1.4152443
474,1.1685241
475,419.59323
476,368.3378
477,6.4489193
478,10.637018
479,65.343544
480,268.4102
481,23.574577
482,1.732845
483,10.106636
484,154.44614
485,1.0239766
486,1.451321
487,2.1703568
488,118.88052
489,2.8857036
490,69.921974
491,7.3082833
492,90.211494
493,14.256964
494,1.0133227
495,0.9685234
496,2.0632117
497,41.537895
498,1.2053432
499,4.4036093
500,3.3465753
501,30.814253
502,55.9907
503,4.3438573
504,11.556992
505,99.152245
506,1.5523096
507,1.2080319
508,1.1240371
509,4.4447
510,6.762632
511,1.5256475
512,1.5559422
513,1.3498026
514,2.0070531
515,1.741308
516,3.3236523
517,96.12559
518,1.2817602
519,179.93544
520,1.0930213
521,93.21825
522,10.970059
523,42.55578
524,0.0904967
525,273.45822
526,1.3133583
527,5.4319105
528,3.8577034
529,39.390095
530,123.06893
531,48.68353
532,28.886272
533,24.355862
534,1.2424349
535,4.6624174
536,11.280716
537,1.7158387
538,1.2192945
539,2.5308292
540,134.46722
541,3.0401378
542,234.5832
543,95.76512
544,3.088666
545,3.3204682
546,16.325243
547,35.804146
548,1.7563822
549,1.604785
550,2.588448
551,8.020101
552,7.5293093
553,1.1624442
554,71.48369
555,46.47819
556,36.647385
557,27.804256
558,1.2048535
559,1.2903278
560,6.947519
561,37.48758
562,28.289232
563,24.028517
564,1.7764045
565,133.6846
566,12.339472
567,128.87527
568,30.61877
569,4.0853887
570,2.077634
571,130.11536
572,2.5254316
573,168.22589
574,228.60489
575,0.2629827
576,0.8879127
577,4.597628
578,1.5959219
579,23.157804
580,46.391705
581,17.852245
582,49.450855
583,3.8289359
584,1.4035492
585,39.615456
586,279.16162
587,189.03741
588,87.31906
589,7.955449
590,20.377316
591,6.7172313
592,0.9221041
593,12.914953
594,1.0815156
595,40.078125
596,2.8001993
597,24.857471
598,1.595253
599,6.4529285
600,1.2035359
601,346.5653
602,6.4580746
603,6.704483
604,1.3463937
605,3.4964519
606,24.800661
607,21.630987
608,3.5907502
609,149.0621
610,50.631454
611,238.40886
612,31.648586
613,1.6798896
614,4.89432
615,1.4376237
616,3.0386822
617,54.503536
618,15.976406
619,2.549169
620,33.368217
621,26.831478
622,10.663795
623,33.635895
624,67.16734
625,55.321674
626,8.203068
627,76.47524
628,7.4759693
629,45.999546
630,98.836655
631,1.4283667
632,343.5224
633,1.0689708
634,0.0
635,3.0736625
636,3.0105295
637,0.96303916
638,133.6846
639,2.3069744
640,162.12845
641,1.1898367
642,40.629642
643,1.7159452
644,83.42244
645,5.7153378
646,1.626709
647,1.2286232
648,1.2110674
649,1.3709837
650,4.654106
651,265.16708
652,1.558966
653,7.255114
654,1.6335809
655,179.70482
656,6.65263
657,1.1376067
658,40.677372
659,7.5428123
660,4.106219
661,27.123127
662,2.25572
663,460.26352
664,141.12776
665,1.5523096
666,22.25018
667,149.33293
668,134.6557
669,21.09739
670,566.25055
671,83.1032
672,1.4656929
673,1.2802477
674,1.1674621
675,1.5686868
676,1.7967348
677,1.2816188
678,1.3431199
679,9.895015
680,35.692104
681,0.01107497
682,2.0493624
683,0.81352276
684,3.3433645
685,229.82187
686,10.106636
687,26.334103
688,2.3405323
689,4.407123
690,10.284887
691,79.50534
692,3.8550675
693,18.62667
694,14.234661
695,26.334103
696,1.7707018
697,1.6433237
698,148.4818
699,1.4836775
700,54.767654
701,1.2286232
702,124.318
703,1.2073197
704,1.1485819
705,5.1172237
706,0.71358705
707,142.29399
708,4.753752
709,296.52512
710,1.4926234
711,41.937843
712,3.972943
713,1.6041006
714,1.1337317
715,1.0612631
716,26.265606
717,18.73411
718,1.2394912
